env,obs,distract,method,mean_success,stderr_success,num_runs,num_tasks,num_seeds
goal,img,False,cardpol,0.773999996483326,0.053170583590905124,50,10,5
goal,img,False,curl,0.657999999821186,0.07336059977003641,50,10,5
goal,img,False,icvf,0.7179999996721744,0.04446721625123676,50,10,5
goal,img,False,vae,0.5080000023543835,0.07056596543747205,50,10,5
goal,img,False,vip,0.6639999997119108,0.08757472869642752,48,10,5
goal,img,False,vqvae,0.5740000028908253,0.07423985053606202,50,10,5
goal,img,True,cardpol,0.6919999991357326,0.07608182605599251,50,10,5
goal,img,True,curl,0.03000000074505806,0.014681810762906684,50,10,5
goal,img,True,icvf,0.6200000040233136,0.07854227347776183,50,10,5
goal,img,True,vae,0.520000001490116,0.07130529003767141,50,10,5
goal,img,True,vip,0.5960000053048135,0.08207313728084999,49,10,5
goal,img,True,vqvae,0.5220000006258487,0.06171259470499182,50,10,5
object,img,False,cardpol,0.7119999997317791,0.06903783078876964,50,10,5
object,img,False,curl,0.7320000001788138,0.05821034594774403,50,10,5
object,img,False,icvf,0.6759999984502791,0.06984427008154305,50,10,5
object,img,False,vae,0.4920000031590462,0.04572380894388397,50,10,5
object,img,False,vip,0.6510000026971101,0.05536645516511608,45,10,5
object,img,False,vqvae,0.5180000001192092,0.06242862508660634,50,10,5
object,img,True,cardpol,0.6459999985992908,0.02952211915511241,50,10,5
object,img,True,curl,0.008000000119209288,0.003265986372377892,50,10,5
object,img,True,icvf,0.5400000035762786,0.04835057112630312,50,10,5
object,img,True,vae,0.49600000500679026,0.047403702873882084,50,10,5
object,img,True,vip,0.5411111156973575,0.04905904738724599,39,9,5
object,img,True,vqvae,0.466000000834465,0.04657610275506505,50,10,5
spatial,img,False,cardpol,0.5260000030696392,0.0958262314855321,50,10,5
spatial,img,False,curl,0.528000001013279,0.08855381118452259,50,10,5
spatial,img,False,icvf,0.49200000375509256,0.07677962744356114,50,10,5
spatial,img,False,vae,0.3480000038444996,0.054747907860583214,50,10,5
spatial,img,False,vip,0.5539999958872796,0.09915419921907598,46,10,5
spatial,img,False,vqvae,0.3340000033378601,0.057815799788276064,50,10,5
spatial,img,True,cardpol,0.5160000011324883,0.07687218664185155,50,10,5
spatial,img,True,curl,0.04400000095367431,0.015143755980643655,50,10,5
spatial,img,True,icvf,0.4880000016093254,0.08835282690742509,50,10,5
spatial,img,True,vae,0.3540000058710575,0.06934935772253535,50,10,5
spatial,img,True,vip,0.45600000381469724,0.08021083294974041,50,10,5
spatial,img,True,vqvae,0.3380000001192093,0.09064950750262404,50,10,5
