env|distract|task,CardPol,VIP,VAE,VQVAE,CURL,ICVF,CardPol_stderr,VIP_stderr,VAE_stderr,VQVAE_stderr,CURL_stderr,ICVF_stderr
Goal|no|task0,0.7400000095367432,0.6800000011920929,0.8399999976158142,0.8399999976158142,0.5599999964237213,0.7599999964237213,0.039999999105930745,0.08602324823593108,0.08124038067142061,0.05099019443456236,0.10770328972307337,0.11224971597461444
Goal|no|task1,1.0,0.8799999952316284,0.4399999976158142,0.6199999958276748,1.0,0.8600000023841858,0.0,0.037416570044537356,0.21587032852242932,0.21540659044527455,0.0,0.09797958934632472
Goal|no|task2,0.7599999964237213,0.7799999952316284,0.4199999988079071,0.5600000113248825,0.6799999952316285,0.3999999985098839,0.10295629932571683,0.0860232517003806,0.1319090564648839,0.11661903989021793,0.1772004503230408,0.1870828671483206
Goal|no|task3,0.4800000011920929,0.43333334227403003,0.0,0.44000000357627866,0.44000001102685926,0.6000000089406967,0.06633249185338315,0.18559214730109672,0.0,0.16309506371826568,0.1208304620914129,0.12649110829159954
Goal|no|task4,0.8599999904632568,0.6400000005960464,0.419999997317791,0.5800000011920929,0.6,0.8,0.05099019443456236,0.12083045672686751,0.13928387821431845,0.09695359475070432,0.09999999403953572,0.08366600122858425
Goal|no|task5,0.8,0.6600000023841858,0.3800000071525574,0.5600000023841858,0.5199999988079071,0.8199999988079071,0.05477224704470123,0.05099019443456236,0.10677078453000832,0.06782329666749178,0.04898979193564424,0.11135528516906508
Goal|no|task6,0.899999988079071,0.7399999976158143,0.5400000095367432,0.7,0.5000000119209289,0.7799999952316284,0.03162277471682027,0.08124038507351516,0.11224972181561842,0.05477225792697072,0.08944272043279201,0.058309511384090254
Goal|no|task7,0.9399999976158142,1.0,1.0,1.0,0.9799999952316284,0.9799999952316284,0.060000002384185784,0.0,0.0,0.0,0.020000004768371583,0.020000004768371583
Goal|no|task8,0.7400000095367432,0.899999988079071,0.5400000095367432,0.799999988079071,0.580000002682209,0.620000010728836,0.039999999105930745,0.03162277471682027,0.16000000089406977,0.06324554472147804,0.17146427872718195,0.06633249499839187
Goal|no|task9,0.5400000035762786,0.2600000038743019,0.20000000596046444,0.10000000149011609,0.480000002682209,0.4600000038743019,0.09273618360521696,0.09273618553341714,0.054772257926970505,0.04472136021639597,0.13564659602637727,0.10295630120724414
Goal|yes|task0,0.6600000023841858,0.6799999952316285,0.7600000023841857,0.5999999910593032,0.02000000029802322,0.6400000095367432,0.02449488866777382,0.04898979558566862,0.08124037773669077,0.11832159112823161,0.020000000298023218,0.05099019443456236
Goal|yes|task1,0.9799999952316284,0.9200000047683716,0.6799999982118606,0.5999999910593032,0.0,0.9399999856948853,0.020000004768371583,0.04898979193564424,0.15297058486227672,0.1483239629103879,0.0,0.02449490326787042
Goal|yes|task2,0.44000000357627866,0.5000000074505806,0.5599999889731407,0.5600000023841858,0.0,0.12000000178813933,0.1288409865270565,0.17320508333784457,0.17204649963317178,0.09273618007018328,0.0,0.037416574425289804
Goal|yes|task3,0.3600000023841858,0.2800000086426735,0.14000000357627868,0.26000000089406966,0.0,0.4200000062584877,0.06782329930395917,0.08602325681044355,0.05099019706468422,0.09797958934632471,0.0,0.11575837010920426
Goal|yes|task4,0.8799999833106995,0.5600000143051147,0.5800000011920929,0.5800000071525574,0.0,0.7600000023841857,0.04898979558566862,0.07483314964708028,0.09695359475070432,0.0860232517003806,0.0,0.050990189758789335
Goal|yes|task5,0.6800000071525574,0.5200000107288361,0.4400000095367432,0.5000000059604645,0.080000002682209,0.5600000083446502,0.037416570044537356,0.03741657800954254,0.08717797640944984,0.03162277942898055,0.05830952122287297,0.06782330194042689
Goal|yes|task6,0.8399999856948852,0.7400000035762787,0.5800000071525574,0.620000010728836,0.04000000059604644,0.700000011920929,0.06000000039736446,0.12489995944302698,0.0734846887145832,0.08000000156462202,0.040000000596046435,0.044721356884395436
Goal|yes|task7,1.0,0.9799999952316284,0.8400000005960464,0.8599999904632568,0.14000000357627868,0.9,0.0,0.020000004768371583,0.1599999994039535,0.06782330194042689,0.06000000188748041,0.044721356884395436
Goal|yes|task8,0.720000010728836,0.6400000095367432,0.4200000002980232,0.48000000417232513,0.02000000029802322,0.7400000035762787,0.10198038886912385,0.09273618392658377,0.15297058447262907,0.08602325204682552,0.020000000298023218,0.10770329221344214
Goal|yes|task9,0.3600000008940697,0.14000000357627868,0.20000000298023224,0.1600000023841858,0.0,0.4200000107288361,0.10770329352780313,0.05099019706468421,0.09486833043333952,0.10295630222037411,0.0,0.09165151786619083
Object|no|task0,0.9599999904632568,0.7000000059604645,0.6600000023841858,0.6799999952316285,0.9199999928474426,0.8800000071525573,0.024494903267870422,0.1483239679335683,0.12489995586388399,0.11135527954877723,0.03741657323053964,0.0799999952316284
Object|no|task1,0.7399999976158143,0.6800000026822091,0.37999999821186065,0.6599999979138375,0.580000002682209,0.6000000059604644,0.09273618135565018,0.1655294526632544,0.1959591773999326,0.1913112618619079,0.13928388088892119,0.1224744847058096
Object|no|task2,0.9399999976158142,0.8399999976158142,0.6999999910593033,0.8399999856948852,0.7000000029802322,0.8399999976158142,0.039999999105930745,0.0812403806714206,0.13038404433259235,0.06000000039736446,0.12649110534649916,0.02449488866777382
Object|no|task3,0.48000000715255736,0.46000000089406967,0.06000000089406966,0.12000000178813934,0.44000000357627866,0.32000000327825545,0.09165151363898086,0.13638181692615436,0.024494897792834192,0.0734846933785026,0.11224972287761917,0.07999999942258003
Object|no|task4,0.3200000077486038,0.4600000023841858,0.44000000059604644,0.7799999952316284,0.7800000011920929,0.6199999988079071,0.13190906143536194,0.20396078153731317,0.1691153450414078,0.19595917869264945,0.11999999607602772,0.190787839689804
Object|no|task5,0.8399999856948852,0.9199999928474426,0.4400000095367432,0.6199999988079071,0.8599999964237213,0.9599999904632568,0.08717797640944983,0.03741657323053963,0.1363818193298879,0.10677078145964071,0.11661903631247872,0.02449490326787042
Object|no|task6,0.720000010728836,0.42500001192092896,0.5199999988079071,0.2600000038743019,0.9199999928474426,0.9199999928474426,0.11999999682108567,0.143614071005508,0.1881488739275987,0.09273618553341714,0.05830952160620233,0.03741657323053963
Object|no|task7,0.6999999955296516,0.8600000023841858,0.3200000062584877,0.8199999928474426,0.720000010728836,0.9,0.1760681670085649,0.0748331424785753,0.11575837197573749,0.07348468709235023,0.10198038886912385,0.09999999999999999
Object|no|task8,0.7400000005960464,0.7250000014901161,0.4,0.33999999761581423,0.8399999976158142,0.5,0.15362291210562234,0.1600781049273807,0.24494897427831783,0.21354156403577865,0.09273618392658374,0.21447610422782376
Object|no|task9,0.8199999988079071,1.0,0.8199999928474426,0.5399999991059303,0.6799999982118606,0.6400000095367432,0.11999999955296518,0.0,0.0860232503146008,0.1435269985146547,0.13190905488336835,0.05099019443456236
Object|yes|task0,0.7399999976158143,0.5799999952316284,0.5600000023841858,0.4599999934434891,0.02000000029802322,0.5600000053644181,0.06782329842513694,0.07999999523162843,0.07483314407157644,0.16309505997230556,0.020000000298023218,0.10295630193090852
Object|yes|task1,0.5400000035762786,0.32000000178813937,0.3000000059604645,0.2199999988079071,0.0,0.46000000834465027,0.10295629614159363,0.18547236994205074,0.14832397195211267,0.14282856694332466,0.0,0.11661904040132356
Object|yes|task2,0.799999988079071,0.4200000077486038,0.48000001907348633,0.5800000071525574,0.02000000029802322,0.32000000178813937,0.06324554472147804,0.09695359582656057,0.12000000476837157,0.0734846887145832,0.020000000298023218,0.18547236994205074
Object|yes|task3,0.6200000047683716,0.6800000071525574,0.2200000047683716,0.25999999791383743,0.0,0.6399999976158142,0.09695359690241673,0.10677077838927337,0.09695359813196656,0.14352699903376115,0.0,0.039999996125698496
Object|yes|task4,0.5199999928474426,0.600000011920929,0.7599999964237213,0.36000000685453415,0.02000000029802322,0.7600000023841857,0.149666291727405,0.08366600122858428,0.1288409851391912,0.09273618770264244,0.020000000298023218,0.09273618135565016
Object|yes|task5,0.7200000047683716,0.720000010728836,0.5400000065565109,0.6399999931454659,0.0,0.4800000160932541,0.05830952160620233,0.0800000011920929,0.11661903465138565,0.13999999766903273,0.0,0.08000000454485419
Object|yes|task6,0.6000000059604644,0.45000001788139343,0.5000000029802323,0.4200000002980232,0.0,0.5400000050663948,0.1303840471897595,0.15000000596046448,0.1048808821175524,0.1881488758283693,0.0,0.14352700121400871
