env|distract|task,CardPol,VIP,VAE,VQVAE,CURL,ICVF,CardPol_stderr,VIP_stderr,VAE_stderr,VQVAE_stderr,CURL_stderr,ICVF_stderr
Goal|no|task0,0.9399999856948853,0.7600000023841857,0.5600000053644181,0.8200000047683715,0.7600000083446503,0.8,0.02449490326787042,0.09273618135565018,0.19390719549546434,0.09165151363898084,0.11661903554582023,0.1303840449040258
Goal|no|task1,0.899999988079071,0.8399999856948852,0.5400000035762786,0.7799999952316284,0.9599999904632568,0.9799999952316284,0.05477225792697072,0.06000000039736446,0.1989974864927977,0.13190905669081476,0.02449490326787042,0.020000004768371583
Goal|no|task2,0.6800000071525574,0.5000000029802323,0.6399999976158142,0.5000000074505806,0.7399999976158143,0.580000002682209,0.05830951956178005,0.1732050794664095,0.18055469966424742,0.1516575086845204,0.050990189758789335,0.1799999992052714
Goal|no|task3,0.7800000071525574,0.40000000844399136,0.15999999791383743,0.5600000083446502,0.26000000536441803,0.6400000154972076,0.08000000044703487,0.20816660245201352,0.1363818145770511,0.1720465061723205,0.040000000968575505,0.07483314805407913
Goal|no|task4,0.8399999856948852,0.5800000131130219,0.32000000178813937,0.4000000059604645,0.7799999833106994,0.6399999976158142,0.06000000039736446,0.06633249769411319,0.11575836701977002,0.03162277471681943,0.0799999952316284,0.0399999961256985
Goal|no|task5,0.7199999928474426,0.8399999976158142,0.5400000095367432,0.4399999976158142,0.44000000357627866,0.7399999976158143,0.11135528168983928,0.09273618392658375,0.1248999587271984,0.1326649886489224,0.02449489596782212,0.08124037773669077
Goal|no|task6,0.8599999904632568,0.899999988079071,0.5400000065565109,0.6800000011920929,0.5600000083446502,0.7600000023841857,0.06782330194042689,0.03162277471682027,0.13266499145696564,0.08602324823593108,0.10295629643105945,0.08124038507351516
Goal|no|task7,0.9600000023841858,1.0,0.9599999904632568,0.9799999952316284,1.0,0.8600000023841858,0.0399999976158142,0.0,0.02449490326787042,0.020000004768371583,0.0,0.09797958934632472
Goal|no|task8,0.6600000023841858,0.7399999976158143,0.5600000083446502,0.3200000077486038,0.5199999988079071,0.6799999892711639,0.11224971862961627,0.050990189758789335,0.05099019443456236,0.03741657402703957,0.10198038419335076,0.135646591577338
Goal|no|task9,0.40000000298023225,0.08000000119209288,0.2600000023841858,0.26000000536441803,0.5600000023841858,0.49999999403953554,0.0894427154347906,0.03741657442528981,0.1661324791957616,0.14696938685839472,0.08124038360615021,0.1378404825481005
Goal|yes|task0,0.6600000023841858,0.6799999952316285,0.7600000023841857,0.5999999910593032,0.02000000029802322,0.6400000095367432,0.02449488866777382,0.04898979558566862,0.08124037773669077,0.11832159112823161,0.020000000298023218,0.05099019443456236
Goal|yes|task1,0.9799999952316284,0.9200000047683716,0.6799999982118606,0.5999999910593032,0.0,0.9399999856948853,0.020000004768371583,0.04898979193564424,0.15297058486227672,0.1483239629103879,0.0,0.02449490326787042
Goal|yes|task2,0.44000000357627866,0.5000000074505806,0.5599999889731407,0.5600000023841858,0.0,0.12000000178813933,0.1288409865270565,0.17320508333784457,0.17204649963317178,0.09273618007018328,0.0,0.037416574425289804
Goal|yes|task3,0.3600000023841858,0.2800000086426735,0.14000000357627868,0.26000000089406966,0.0,0.4200000062584877,0.06782329930395917,0.08602325681044355,0.05099019706468422,0.09797958934632471,0.0,0.11575837010920426
Goal|yes|task4,0.8799999833106995,0.5600000143051147,0.5800000011920929,0.5800000071525574,0.0,0.7600000023841857,0.04898979558566862,0.07483314964708028,0.09695359475070432,0.0860232517003806,0.0,0.050990189758789335
Goal|yes|task5,0.6800000071525574,0.5200000107288361,0.4400000095367432,0.5000000059604645,0.080000002682209,0.5600000083446502,0.037416570044537356,0.03741657800954254,0.08717797640944984,0.03162277942898055,0.05830952122287297,0.06782330194042689
Goal|yes|task6,0.8399999856948852,0.7400000035762787,0.5800000071525574,0.620000010728836,0.04000000059604644,0.700000011920929,0.06000000039736446,0.12489995944302698,0.0734846887145832,0.08000000156462202,0.040000000596046435,0.044721356884395436
Goal|yes|task7,1.0,0.9799999952316284,0.8400000005960464,0.8599999904632568,0.14000000357627868,0.9,0.0,0.020000004768371583,0.1599999994039535,0.06782330194042689,0.06000000188748041,0.044721356884395436
Goal|yes|task8,0.720000010728836,0.6400000095367432,0.4200000002980232,0.48000000417232513,0.02000000029802322,0.7400000035762787,0.10198038886912385,0.09273618392658377,0.15297058447262907,0.08602325204682552,0.020000000298023218,0.10770329221344214
Goal|yes|task9,0.3600000008940697,0.14000000357627868,0.20000000298023224,0.1600000023841858,0.0,0.4200000107288361,0.10770329352780313,0.05099019706468421,0.09486833043333952,0.10295630222037411,0.0,0.09165151786619083
Object|no|task0,0.9,0.7000000029802322,0.5000000029802323,0.67999999076128,0.9,0.8000000029802322,0.09999999999999999,0.15491933375211012,0.11401754159507106,0.15620499140990565,0.044721356884395436,0.15491933327117718
Object|no|task1,0.7199999928474426,0.3799999952316284,0.5,0.41999999433755875,0.3600000098347664,0.12000000178813933,0.11999999135732665,0.23323807313606285,0.1612451527480572,0.1714642775105071,0.12884099155806814,0.037416574425289804
Object|no|task2,0.8799999952316284,0.8,0.5000000059604645,0.16000000536441802,0.6399999931454659,0.7999999821186066,0.07348468709235023,0.05477224704470123,0.16124515552044955,0.11224972619637151,0.14696937950765185,0.09999999403953551
Object|no|task3,0.5600000083446502,0.620000010728836,0.5200000047683716,0.4000000014901161,0.5599999964237213,0.5800000071525574,0.10295629643105945,0.06633249499839187,0.10198038828465225,0.14491376730765276,0.13999999165534974,0.0860232517003806
Object|no|task4,0.28000000268220904,0.5800000041723251,0.6200000062584877,0.7799999952316284,0.7,0.6400000095367432,0.09695359774773217,0.12000000067055233,0.1624807687713755,0.08602325170038058,0.12247448227246023,0.12083045845338777
Object|no|task5,0.9199999928474426,0.8399999976158142,0.7,0.6200000047683716,0.8799999952316284,0.8799999952316284,0.05830952160620233,0.1029563022203741,0.07071067390397028,0.037416570044537356,0.037416570044537356,0.07348468709235023
Object|no|task6,0.9200000047683716,0.6500000059604645,0.5200000047683716,0.7400000005960464,0.7600000023841857,0.7599999904632568,0.0799999952316284,0.23629078089221175,0.1772004516685146,0.16613247677401147,0.09273618135565018,0.19131126295236256
Object|no|task7,0.5599999994039535,0.8399999976158142,0.2999999955296516,0.480000002682209,0.8,0.799999988079071,0.13638181561502694,0.08124038067142061,0.1760681644695776,0.1881488771351492,0.07071067390397028,0.08944271710079116
Object|no|task8,0.8399999916553498,0.75,0.20000000298023224,0.3200000047683716,1.0,0.8000000029802322,0.11224971916061666,0.1658312371215732,0.15491933615677464,0.15297058720016324,0.0,0.15491933327117718
Object|no|task9,0.5400000095367432,0.350000012665987,0.5600000083446502,0.5800000011920929,0.7200000047683716,0.5800000041723251,0.16000000089406977,0.25000001117587084,0.09273618392658377,0.1743559577758126,0.0860232517003806,0.12000000067055233
Object|yes|task0,0.7399999976158143,0.5799999952316284,0.5600000023841858,0.4599999934434891,0.02000000029802322,0.5600000053644181,0.06782329842513694,0.07999999523162843,0.07483314407157644,0.16309505997230556,0.020000000298023218,0.10295630193090852
Object|yes|task1,0.5400000035762786,0.32000000178813937,0.3000000059604645,0.2199999988079071,0.0,0.46000000834465027,0.10295629614159363,0.18547236994205074,0.14832397195211267,0.14282856694332466,0.0,0.11661904040132356
