env,obs,distract,method,experiment_group,cfg/env/task_id,cfg/train/seed,cfg/train/rep_loss_scale,cfg/train/vae_type,rollout/success_env_avg,metrics_csv/rollout/success_env_avg,job_name
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,0,0,0.01,,1.0,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task0_0810_2154_seed0_ratio0.9_09ed1f
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,0,1,0.01,,0.8999999761581421,0.699999988079071,libero_goal_bc_cardpol_policy_vilt_task0_0810_2253_seed1_ratio0.9_3e77a6
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,0,2,0.01,,0.8999999761581421,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task0_0810_2352_seed2_ratio0.9_ab63b6
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,0,3,0.01,,0.8999999761581421,0.6000000238418579,libero_goal_bc_cardpol_policy_vilt_task0_0811_0052_seed3_ratio0.9_6f3633
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,0,4,0.01,,1.0,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task0_0811_0152_seed4_ratio0.9_7d4f7e
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,1,0,0.01,,0.699999988079071,1.0,libero_goal_bc_cardpol_policy_vilt_task1_0810_2154_seed0_ratio0.9_24937e
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,1,1,0.01,,0.8999999761581421,1.0,libero_goal_bc_cardpol_policy_vilt_task1_0810_2239_seed1_ratio0.9_76c08d
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,1,2,0.01,,1.0,1.0,libero_goal_bc_cardpol_policy_vilt_task1_0810_2322_seed2_ratio0.9_9112c0
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,1,3,0.01,,1.0,1.0,libero_goal_bc_cardpol_policy_vilt_task1_0811_0003_seed3_ratio0.9_602407
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,1,4,0.01,,0.8999999761581421,1.0,libero_goal_bc_cardpol_policy_vilt_task1_0811_0045_seed4_ratio0.9_e61f0d
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,2,0,0.01,,0.6000000238418579,0.699999988079071,libero_goal_bc_cardpol_policy_vilt_task2_0810_2154_seed0_ratio0.9_d3c3a1
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,2,1,0.01,,0.800000011920929,0.4000000059604645,libero_goal_bc_cardpol_policy_vilt_task2_0810_2243_seed1_ratio0.9_3428b8
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,2,2,0.01,,0.699999988079071,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task2_0810_2332_seed2_ratio0.9_d387ff
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,2,3,0.01,,0.800000011920929,1.0,libero_goal_bc_cardpol_policy_vilt_task2_0811_0020_seed3_ratio0.9_2154a2
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,2,4,0.01,,0.5,0.8999999761581421,libero_goal_bc_cardpol_policy_vilt_task2_0811_0108_seed4_ratio0.9_e8791e
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,3,0,0.01,,1.0,0.699999988079071,libero_goal_bc_cardpol_policy_vilt_task3_0810_2154_seed0_ratio0.9_e62c0f
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,3,1,0.01,,0.800000011920929,0.4000000059604645,libero_goal_bc_cardpol_policy_vilt_task3_0810_2315_seed1_ratio0.9_d31027
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,3,2,0.01,,0.800000011920929,0.3000000119209289,libero_goal_bc_cardpol_policy_vilt_task3_0811_0037_seed2_ratio0.9_1c38c8
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,3,3,0.01,,0.800000011920929,0.5,libero_goal_bc_cardpol_policy_vilt_task3_0811_0158_seed3_ratio0.9_bdf771
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,3,4,0.01,,0.5,0.5,libero_goal_bc_cardpol_policy_vilt_task3_0811_0318_seed4_ratio0.9_8b77ff
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,4,0,0.01,,0.699999988079071,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task4_0810_2153_seed0_ratio0.9_54081c
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,4,1,0.01,,0.8999999761581421,0.699999988079071,libero_goal_bc_cardpol_policy_vilt_task4_0810_2239_seed1_ratio0.9_b84488
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,4,2,0.01,,0.8999999761581421,0.8999999761581421,libero_goal_bc_cardpol_policy_vilt_task4_0810_2324_seed2_ratio0.9_0d8510
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,4,3,0.01,,0.699999988079071,0.8999999761581421,libero_goal_bc_cardpol_policy_vilt_task4_0811_0010_seed3_ratio0.9_b02ef2
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,4,4,0.01,,1.0,1.0,libero_goal_bc_cardpol_policy_vilt_task4_0811_0055_seed4_ratio0.9_d9545e
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,5,0,0.01,,0.8999999761581421,0.8999999761581421,libero_goal_bc_cardpol_policy_vilt_task5_0810_2153_seed0_ratio0.9_4bbdfe
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,5,1,0.01,,0.699999988079071,0.6000000238418579,libero_goal_bc_cardpol_policy_vilt_task5_0810_2300_seed1_ratio0.9_282084
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,5,2,0.01,,0.800000011920929,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task5_0811_0006_seed2_ratio0.9_80fcee
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,5,3,0.01,,0.8999999761581421,0.8999999761581421,libero_goal_bc_cardpol_policy_vilt_task5_0811_0111_seed3_ratio0.9_2f7c6d
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,5,4,0.01,,0.3000000119209289,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task5_0811_0217_seed4_ratio0.9_9f3ea0
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,6,0,0.01,,0.8999999761581421,0.8999999761581421,libero_goal_bc_cardpol_policy_vilt_task6_0810_2153_seed0_ratio0.9_0f1c31
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,6,1,0.01,,1.0,0.8999999761581421,libero_goal_bc_cardpol_policy_vilt_task6_0810_2243_seed1_ratio0.9_fb4fa9
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,6,2,0.01,,0.699999988079071,1.0,libero_goal_bc_cardpol_policy_vilt_task6_0810_2331_seed2_ratio0.9_b0fd9c
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,6,3,0.01,,0.699999988079071,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task6_0811_0018_seed3_ratio0.9_22541b
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,6,4,0.01,,1.0,0.8999999761581421,libero_goal_bc_cardpol_policy_vilt_task6_0811_0104_seed4_ratio0.9_6f4638
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,7,0,0.01,,1.0,0.699999988079071,libero_goal_bc_cardpol_policy_vilt_task7_0810_2154_seed0_ratio0.9_49316c
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,7,1,0.01,,1.0,1.0,libero_goal_bc_cardpol_policy_vilt_task7_0810_2233_seed1_ratio0.9_7b5420
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,7,2,0.01,,1.0,1.0,libero_goal_bc_cardpol_policy_vilt_task7_0810_2309_seed2_ratio0.9_eb46b9
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,7,3,0.01,,1.0,1.0,libero_goal_bc_cardpol_policy_vilt_task7_0810_2346_seed3_ratio0.9_b7123b
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,7,4,0.01,,0.800000011920929,1.0,libero_goal_bc_cardpol_policy_vilt_task7_0811_0023_seed4_ratio0.9_26d335
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,8,0,0.01,,0.800000011920929,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task8_0810_2154_seed0_ratio0.9_6172eb
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,8,1,0.01,,0.5,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task8_0810_2239_seed1_ratio0.9_8bf246
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,8,2,0.01,,0.3000000119209289,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task8_0810_2322_seed2_ratio0.9_9df7e3
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,8,3,0.01,,0.8999999761581421,0.6000000238418579,libero_goal_bc_cardpol_policy_vilt_task8_0811_0007_seed3_ratio0.9_0f909f
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,8,4,0.01,,0.800000011920929,0.699999988079071,libero_goal_bc_cardpol_policy_vilt_task8_0811_0051_seed4_ratio0.9_5aabbe
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,9,0,0.01,,0.3000000119209289,0.5,libero_goal_bc_cardpol_policy_vilt_task9_0810_2154_seed0_ratio0.9_2181aa
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,9,1,0.01,,0.3000000119209289,0.699999988079071,libero_goal_bc_cardpol_policy_vilt_task9_0810_2306_seed1_ratio0.9_937332
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,9,2,0.01,,0.2000000029802322,0.3000000119209289,libero_goal_bc_cardpol_policy_vilt_task9_0811_0016_seed2_ratio0.9_1e3909
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,9,3,0.01,,0.5,0.800000011920929,libero_goal_bc_cardpol_policy_vilt_task9_0811_0126_seed3_ratio0.9_7a42a9
goal,img,False,cardpol,bc-cardpol-baseline_img_cam-agent,9,4,0.01,,0.699999988079071,0.4000000059604645,libero_goal_bc_cardpol_policy_vilt_task9_0811_0236_seed4_ratio0.9_114c87
