env|obs|distract,Vanilla,CardPol (RL=0.01),VAE,CURL,VIP,Vanilla_stderr,CardPol (RL=0.01)_stderr,VAE_stderr,CURL_stderr,VIP_stderr
Goal|img|no,0.6879999989271164,0.737999997586012,0.5080000023543835,0.657999999821186,0.4420000018179417,0.08799999837020435,0.06982199398804383,0.07056596543747205,0.07336059977003641,0.08781040147111821
Goal|img|yes,0.5820000030100345,0.6639999990165233,0.520000001490116,0.03000000074505806,0.3580000014603138,0.0873027927085538,0.06557777276594781,0.07130529003767141,0.014681810762906684,0.06669665929701472
Goal|img+proprio|no,0.7479999981820583,0.7739999996125698,0.793999997228384,,,0.07273696775257514,0.062042994644580345,0.04714516516953859,,
Goal|img+proprio|yes,0.633333335071802,0.7360000025729339,0.7539999987185,,,0.0609877522820469,0.04765306591308297,0.05399999891472949,,
Object|img|no,0.6799999985098839,0.7239999970793723,0.4920000031590462,0.7320000001788138,0.10400000140070915,0.0801110331143401,0.04607240660871878,0.04572380894388397,0.05821034594774403,0.05397942099762216
Object|img|yes,0.5160000023245811,0.620000003427267,0.49600000500679026,0.008000000119209288,0.2100000010430813,0.03636848382712033,0.038064270330182094,0.047403702873882084,0.003265986372377892,0.06024025968103454
Object|img+proprio|no,0.809999998509884,0.7919999995827676,0.7259999965131284,,,0.039242833671504385,0.03773592332849334,0.04580635543814925,,
Object|img+proprio|yes,0.6113333326578141,0.6133333320418993,0.666000000089407,,,0.03059976569438231,0.026218454928006275,0.03664241625219595,,
Spatial|img|no,0.5840000009536743,0.6039999992400408,0.3480000038444996,0.528000001013279,,0.08502548575386555,0.08458000692437402,0.054747907860583214,0.08855381118452259,
Spatial|img|yes,0.466000000834465,0.5040000012516975,0.3540000058710575,0.04400000095367431,,0.09508125122539388,0.08431686140769233,0.06934935772253535,0.015143755980643655,
Spatial|img+proprio|no,0.590000000745058,0.6000000004470348,0.5480000022053717,,,0.05867045346313123,0.06366579305859152,0.07950960804085666,,
Spatial|img+proprio|yes,0.5360000036656857,0.5459999999403954,0.5410000045597554,,,0.04568491016173099,0.05880664974938142,0.06835284212417687,,
